Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Property_Area,Fahrzeugwert,leasingrate,label
Male,No,0,Graduate,No,5849,0,36,Urban,65318.4,680.4,No Risk
Male,Yes,1,Graduate,No,4583,1508,36,Rural,65318.4,680.4,No Risk
Male,Yes,0,Graduate,Yes,3000,0,36,Urban,48498.912,505.1969999999999,No Risk
Male,Yes,0,Not Graduate,No,2583,2358,36,Urban,61235.99999999999,637.8749999999999,No Risk
Male,No,0,Graduate,No,6000,0,36,Urban,71952.3,749.5031250000001,No Risk
Male,Yes,2,Graduate,Yes,5417,4196,36,Urban,49050.036,510.937875,No Risk
Male,Yes,0,Not Graduate,No,2333,1516,36,Urban,48478.5,504.984375,No Risk
Male,Yes,3+,Graduate,No,3036,2504,36,Semiurban,48376.44,503.92125,No Risk
Male,Yes,2,Graduate,No,4006,1526,36,Urban,51438.240000000005,535.815,No Risk
Male,Yes,1,Graduate,No,12841,10968,36,Semiurban,64114.092,667.855125,No Risk
Male,Yes,2,Graduate,No,3200,700,36,Urban,51438.240000000005,535.815,No Risk
Male,Yes,2,Graduate,No,2500,1840,36,Urban,55622.7,579.403125,No Risk
Male,Yes,2,Graduate,No,3073,8106,36,Urban,61235.99999999999,637.8749999999999,No Risk
Male,No,0,Graduate,No,1853,2840,36,Rural,58174.2,605.9812499999999,Risk
Male,No,0,Graduate,No,4950,0,36,Urban,63787.5,664.453125,No Risk
Male,No,1,Not Graduate,No,3596,0,24,Urban,51030.0,531.5625,No Risk
Female,No,0,Graduate,No,3510,0,36,Urban,64638.0,673.3125,No Risk
Male,Yes,0,Not Graduate,No,4887,0,36,Rural,67869.9,706.978125,No Risk
Male,Yes,0,Graduate,No,2600,3500,36,Urban,58684.49999999999,611.2968749999999,No Risk
Male,Yes,0,Not Graduate,No,7660,0,36,Urban,53071.2,552.825,No Risk
Male,Yes,1,Graduate,No,5955,5625,36,Urban,57868.01999999999,602.7918749999999,No Risk
Male,Yes,0,Not Graduate,No,2600,1911,36,Semiurban,59194.8,616.6125,No Risk
Male,Yes,2,Not Graduate,No,3365,1917,36,Rural,57153.59999999999,595.3499999999999,No Risk
Male,Yes,1,Graduate,No,3717,2925,36,Semiurban,46233.17999999999,481.5956249999999,No Risk
Male,Yes,0,Graduate,Yes,9560,0,36,Semiurban,58480.37999999999,609.1706249999999,No Risk
Male,Yes,0,Graduate,No,2799,2253,36,Semiurban,62256.59999999999,648.5062499999999,No Risk
Male,Yes,2,Not Graduate,No,4226,1040,36,Urban,56132.99999999999,584.7187499999999,No Risk
Male,No,0,Not Graduate,No,1442,0,36,Urban,71442.0,744.1875,Risk
Female,No,2,Graduate,No,3750,2083,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Male,Yes,1,Graduate,No,4166,3369,36,Urban,61542.17999999998,641.0643749999998,No Risk
Male,No,0,Graduate,No,3167,0,36,Urban,62937.0,655.59375,No Risk
Male,No,1,Graduate,Yes,4692,0,36,Rural,54091.8,563.4562500000001,No Risk
Male,Yes,0,Graduate,No,3500,1667,36,Semiurban,58174.2,605.9812499999999,No Risk
Male,No,3+,Graduate,No,12500,3000,36,Rural,58786.55999999999,612.3599999999999,No Risk
Male,Yes,0,Graduate,No,2275,2067,36,Urban,65318.4,680.4,Risk
Male,Yes,0,Graduate,No,1828,1330,36,Urban,51030.0,531.5625,Risk
Female,Yes,0,Graduate,No,3667,1459,36,Semiurban,73483.20000000001,765.4500000000002,No Risk
Male,No,0,Graduate,No,4166,7210,36,Urban,56337.12,586.8449999999999,No Risk
Male,No,0,Not Graduate,No,3748,1668,36,Semiurban,56132.99999999999,584.7187499999999,No Risk
Male,No,0,Graduate,No,3600,0,36,Urban,68040.0,708.75,No Risk
Male,No,0,Graduate,No,1800,1213,36,Urban,57561.83999999998,599.6024999999998,Risk
Male,Yes,0,Graduate,No,2400,0,36,Urban,63787.5,664.453125,Risk
Male,Yes,0,Graduate,No,3941,2336,36,Semiurban,68380.20000000001,712.2937500000002,No Risk
Male,Yes,0,Not Graduate,Yes,4695,0,36,Urban,48988.8,510.3,Risk
Female,No,0,Graduate,No,3410,0,36,Urban,44906.4,467.775,No Risk
Male,Yes,1,Graduate,No,5649,0,36,Urban,53887.67999999999,561.3299999999999,No Risk
Male,Yes,0,Graduate,No,5821,0,36,Urban,73483.20000000001,765.4500000000002,No Risk
Female,Yes,0,Graduate,No,2645,3440,36,Urban,61235.99999999999,637.8749999999999,No Risk
Female,No,0,Graduate,No,4000,2275,36,Semiurban,73483.20000000001,765.4500000000002,No Risk
Female,Yes,0,Not Graduate,No,1928,1644,36,Semiurban,51030.0,531.5625,Risk
Female,No,0,Graduate,No,3086,0,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Female,No,0,Graduate,No,4230,0,36,Semiurban,57153.59999999999,595.3499999999999,No Risk
Male,Yes,2,Graduate,No,4616,0,36,Urban,68380.20000000001,712.2937500000002,No Risk
Female,Yes,1,Graduate,Yes,11500,0,36,Urban,52540.488,547.29675,No Risk
Male,Yes,2,Graduate,No,2708,1167,36,Semiurban,49499.100000000006,515.615625,No Risk
Male,Yes,0,Graduate,No,2132,1591,36,Semiurban,48988.8,510.3,No Risk
Male,Yes,0,Graduate,No,3366,2200,36,Rural,68890.5,717.609375,No Risk
Male,Yes,1,Graduate,No,8080,2250,36,Urban,55112.4,574.0875,No Risk
Male,Yes,2,Not Graduate,No,3357,2859,36,Urban,73483.20000000001,765.4500000000002,No Risk
Male,Yes,0,Graduate,No,2500,3796,36,Urban,61235.99999999999,637.8749999999999,Risk
Male,Yes,3+,Graduate,No,3029,0,36,Urban,50519.7,526.246875,No Risk
Male,Yes,1,Graduate,No,4945,0,36,Rural,65318.4,680.4,No Risk
Female,No,0,Graduate,No,4166,0,36,Semiurban,59194.8,616.6125,No Risk
Male,Yes,0,Graduate,No,5726,4595,36,Semiurban,47396.664,493.71525,No Risk
Male,Yes,1,Graduate,No,10750,0,36,Urban,57316.89599999999,597.0509999999999,No Risk
Female,No,0,Graduate,No,4300,0,36,Semiurban,69400.8,722.9250000000001,No Risk
Male,Yes,0,Graduate,No,3208,3066,36,Urban,52662.96,548.5725,No Risk
Male,Yes,2,Not Graduate,Yes,1875,1875,36,Semiurban,49499.100000000006,515.615625,Risk
Male,No,0,Graduate,No,3500,0,30,Semiurban,68890.5,717.609375,No Risk
Male,Yes,3+,Not Graduate,No,4755,0,36,Semiurban,48478.5,504.984375,No Risk
Male,Yes,3+,Graduate,Yes,5266,1774,36,Semiurban,57255.65999999999,596.4131249999999,No Risk
Male,No,0,Graduate,No,3750,0,48,Urban,57663.89999999999,600.6656249999999,No Risk
Male,No,0,Graduate,No,3750,4750,36,Urban,53887.67999999999,561.3299999999999,No Risk
Male,Yes,1,Graduate,Yes,1000,3022,36,Urban,56132.99999999999,584.7187499999999,Risk
Male,Yes,3+,Graduate,No,3167,4000,30,Semiurban,55112.4,574.0875,No Risk
Male,Yes,3+,Not Graduate,Yes,3333,2166,36,Semiurban,66339.0,691.03125,No Risk
Female,No,0,Graduate,No,3846,0,36,Semiurban,56643.3,590.034375,No Risk
Male,Yes,1,Graduate,Yes,2395,0,36,Semiurban,65318.4,680.4,Risk
Female,Yes,2,Graduate,No,1378,1881,36,Urban,51132.06,532.625625,Risk
Male,Yes,0,Graduate,No,6000,2250,36,Semiurban,48682.62,507.110625,No Risk
Male,Yes,1,Graduate,No,3988,0,24,Urban,61235.99999999999,637.8749999999999,No Risk
Male,No,0,Graduate,No,2366,2531,36,Semiurban,69400.8,722.9250000000001,Risk
Male,Yes,2,Not Graduate,No,3333,2000,36,Semiurban,50519.7,526.246875,No Risk
Male,Yes,0,Graduate,No,2500,2118,36,Semiurban,53071.2,552.825,No Risk
Male,No,0,Graduate,No,8566,0,36,Urban,64297.8,669.7687500000001,No Risk
Male,Yes,0,Graduate,No,5695,4167,36,Semiurban,53581.5,558.140625,No Risk
Male,Yes,0,Graduate,No,2958,2900,36,Semiurban,66849.3,696.3468750000001,No Risk
Male,Yes,2,Not Graduate,No,3273,1820,36,Urban,68890.5,717.609375,No Risk
Male,No,0,Graduate,No,4133,0,36,Semiurban,62256.59999999999,648.5062499999999,No Risk
Male,No,0,Graduate,No,6782,0,36,Urban,65318.4,680.4,No Risk
Female,Yes,0,Graduate,No,2484,2302,36,Semiurban,69911.1,728.240625,Risk
Male,Yes,0,Graduate,No,1977,997,36,Semiurban,61235.99999999999,637.8749999999999,Risk
Male,Yes,0,Graduate,No,1759,3541,36,Semiurban,66849.3,696.3468750000001,Risk
Male,No,0,Graduate,No,4843,3806,36,Semiurban,46233.17999999999,481.5956249999999,No Risk
Male,Yes,0,Graduate,No,13650,0,36,Urban,65318.4,680.4,No Risk
Male,Yes,0,Graduate,No,4652,3583,36,Semiurban,65318.4,680.4,No Risk
Male,Yes,0,Graduate,No,3816,754,36,Urban,48988.8,510.3,No Risk
Male,Yes,1,Graduate,No,3052,1030,36,Urban,51030.0,531.5625,No Risk
Male,Yes,2,Graduate,No,11417,1126,36,Urban,68890.5,717.609375,No Risk
Male,No,0,Not Graduate,No,7333,0,36,Rural,61235.99999999999,637.8749999999999,No Risk
Male,Yes,2,Graduate,No,3800,3600,36,Urban,66134.88,688.9050000000001,No Risk
Male,Yes,3+,Not Graduate,No,2071,754,48,Semiurban,47968.2,499.66875,No Risk
Male,No,0,Graduate,No,5316,0,36,Urban,69400.8,722.9250000000001,No Risk
Female,Yes,0,Graduate,No,2929,2333,36,Semiurban,70931.70000000001,738.8718750000002,Risk
Male,Yes,0,Not Graduate,No,3572,4114,36,Rural,46539.36,484.7850000000001,No Risk
Female,No,1,Graduate,Yes,7451,0,36,Semiurban,65318.4,680.4,No Risk
Male,No,0,Graduate,No,5050,0,36,Semiurban,60215.39999999999,627.2437499999999,No Risk
Female,Yes,0,Graduate,No,3167,2283,36,Semiurban,47151.72,491.16375,No Risk
Male,Yes,1,Graduate,No,2214,1398,36,Urban,72292.5,753.046875,Risk
Male,Yes,0,Graduate,No,5568,2142,36,Rural,53581.5,558.140625,No Risk
Female,No,0,Graduate,No,10408,0,36,Urban,47580.372,495.628875,No Risk
Male,Yes,0,Graduate,No,5667,2667,36,Rural,55112.4,574.0875,No Risk
Female,No,0,Graduate,No,4166,0,36,Semiurban,53887.67999999999,561.3299999999999,No Risk
Female,No,0,Graduate,No,2137,8980,36,Semiurban,69911.1,728.240625,Risk
Male,Yes,2,Graduate,No,2957,0,36,Semiurban,68890.5,717.609375,No Risk
Male,Yes,0,Not Graduate,No,4300,2014,36,Rural,59398.919999999984,618.7387499999999,No Risk
Female,No,0,Graduate,No,3692,0,36,Rural,47457.9,494.353125,No Risk
Male,Yes,3+,Graduate,No,23803,0,36,Rural,67971.95999999999,708.0412499999999,No Risk
Male,No,0,Graduate,No,3865,1640,36,Rural,65318.4,680.4,No Risk
Male,Yes,0,Graduate,No,6080,2569,36,Rural,55724.76,580.46625,No Risk
Male,No,0,Graduate,Yes,20166,0,48,Urban,59705.09999999999,621.9281249999999,No Risk
Male,No,0,Graduate,No,2014,1929,36,Urban,62937.0,655.59375,Risk
Male,No,0,Graduate,No,2718,0,36,Semiurban,51438.240000000005,535.815,No Risk
Male,No,0,Graduate,No,4895,0,36,Semiurban,52050.600000000006,542.19375,No Risk
Male,Yes,3+,Graduate,No,4000,7750,36,Semiurban,53275.31999999999,554.95125,No Risk
Female,Yes,0,Graduate,No,4583,0,36,Rural,71442.0,744.1875,No Risk
Male,Yes,2,Graduate,Yes,3316,3500,36,Urban,44906.4,467.775,No Risk
Male,No,0,Graduate,No,14999,0,36,Semiurban,74095.56,771.82875,No Risk
Male,Yes,2,Not Graduate,No,4200,1430,36,Rural,65828.70000000001,685.7156250000002,No Risk
Male,Yes,2,Graduate,No,5042,2083,36,Rural,56643.3,590.034375,No Risk
Male,No,0,Graduate,No,5417,0,36,Urban,51438.240000000005,535.815,No Risk
Male,Yes,0,Graduate,No,2698,2034,36,Semiurban,62256.59999999999,648.5062499999999,No Risk
Female,Yes,0,Graduate,No,2330,4486,36,Semiurban,51030.0,531.5625,No Risk
Female,Yes,2,Graduate,No,14866,0,36,Urban,51438.240000000005,535.815,No Risk
Male,Yes,1,Graduate,No,1538,1425,36,Urban,44614.8,464.7375,Risk
Female,No,0,Graduate,No,10000,1666,36,Rural,68890.5,717.609375,No Risk
Male,Yes,0,Graduate,No,4860,830,36,Semiurban,63787.5,664.453125,No Risk
Male,No,0,Graduate,No,6277,0,36,Rural,60215.39999999999,627.2437499999999,No Risk
Male,Yes,0,Graduate,Yes,2577,3750,36,Rural,46539.36,484.7850000000001,No Risk
Male,No,0,Graduate,No,9166,0,36,Urban,74707.92,778.2075,No Risk
Male,Yes,2,Not Graduate,No,2281,0,36,Rural,57663.89999999999,600.6656249999999,Risk
Male,No,0,Graduate,No,3254,0,36,Urban,61235.99999999999,637.8749999999999,No Risk
Male,Yes,1,Graduate,No,6000,0,36,Rural,48988.8,510.3,No Risk
Male,Yes,1,Graduate,No,9538,0,36,Urban,57255.65999999999,596.4131249999999,No Risk
Male,No,0,Graduate,No,2980,2083,36,Rural,61235.99999999999,637.8749999999999,No Risk
Male,Yes,0,Graduate,No,4583,5625,36,Semiurban,46845.54,487.974375,No Risk
Male,Yes,0,Not Graduate,No,1863,1041,36,Semiurban,50009.4,520.93125,Risk
Male,Yes,0,Graduate,No,7933,0,36,Urban,50519.7,526.246875,No Risk
Male,Yes,1,Graduate,No,3089,1280,36,Semiurban,61746.3,643.190625,No Risk
Male,Yes,2,Graduate,No,4167,1447,36,Rural,48376.44,503.92125,No Risk
Male,Yes,0,Graduate,No,3707,3166,36,Rural,55724.76,580.46625,No Risk
Female,Yes,0,Graduate,No,4583,0,36,Rural,57153.59999999999,595.3499999999999,No Risk
Male,Yes,0,Graduate,No,2439,3333,36,Rural,65828.70000000001,685.7156250000002,Risk
Male,No,0,Graduate,No,2237,0,48,Semiurban,46294.416,482.2335,No Risk
Male,Yes,2,Graduate,No,8000,0,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Male,Yes,0,Not Graduate,No,1820,1769,36,Rural,48478.5,504.984375,Risk
Male,Yes,3+,Graduate,No,51763,0,30,Urban,64297.8,669.7687500000001,No Risk
Male,Yes,0,Graduate,No,5708,5625,36,Semiurban,57255.65999999999,596.4131249999999,No Risk
Male,Yes,0,Not Graduate,Yes,4344,736,36,Semiurban,44396.100000000006,462.4593750000001,No Risk
Male,Yes,0,Graduate,No,3497,1964,36,Rural,59194.8,616.6125,No Risk
Male,Yes,2,Graduate,No,2045,1619,36,Rural,51540.3,536.8781250000001,Risk
Male,Yes,3+,Graduate,No,5516,11300,36,Semiurban,45467.73,473.6221874999999,No Risk
Male,Yes,1,Graduate,No,3750,0,36,Semiurban,59194.8,616.6125,No Risk
Male,No,0,Not Graduate,No,2333,1451,48,Urban,52050.600000000006,542.19375,No Risk
Male,Yes,1,Graduate,No,6400,7250,36,Urban,55112.4,574.0875,No Risk
Male,No,0,Graduate,No,1916,5063,36,Rural,49233.744,512.8515,Risk
Male,Yes,1,Graduate,No,33846,0,36,Semiurban,47764.08,497.5425,No Risk
Female,Yes,0,Graduate,No,3625,0,36,Semiurban,55112.4,574.0875,No Risk
Male,Yes,0,Graduate,Yes,39147,4750,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Male,Yes,1,Graduate,Yes,2178,0,30,Rural,48498.912,505.197,No Risk
Male,Yes,0,Graduate,No,2383,2138,36,Rural,71033.76,739.935,Risk
Male,Yes,0,Graduate,Yes,674,5296,36,Rural,51438.240000000005,535.815,Risk
Male,No,0,Not Graduate,No,4885,0,36,Rural,58786.55999999999,612.3599999999999,No Risk
Male,No,0,Graduate,No,12000,0,36,Semiurban,50213.52,523.0575,No Risk
Male,Yes,0,Not Graduate,No,6033,0,36,Urban,48988.8,510.3,No Risk
Male,No,0,Graduate,No,3858,0,36,Semiurban,64638.0,673.3125,No Risk
Male,No,0,Graduate,No,4191,0,36,Rural,61235.99999999999,637.8749999999999,No Risk
Male,Yes,1,Graduate,No,3125,2583,36,Semiurban,52050.600000000006,542.19375,No Risk
Male,No,0,Graduate,No,8333,3750,36,Rural,57255.65999999999,596.4131249999999,No Risk
Female,No,0,Not Graduate,No,1907,2365,36,Urban,61235.99999999999,637.8749999999999,Risk
Female,Yes,0,Graduate,No,3416,2816,36,Semiurban,57663.89999999999,600.6656249999999,No Risk
Male,No,0,Graduate,Yes,11000,0,36,Urban,70591.5,735.328125,No Risk
Male,Yes,1,Not Graduate,No,2600,2500,36,Semiurban,45927.0,478.40625,No Risk
Male,No,2,Graduate,No,4923,0,36,Semiurban,50825.88,529.43625,No Risk
Male,Yes,1,Not Graduate,No,3500,1083,36,Urban,68890.5,717.609375,No Risk
Male,Yes,2,Not Graduate,No,3917,0,36,Semiurban,63277.2,659.1374999999999,No Risk
Female,No,0,Not Graduate,No,4408,0,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Female,No,0,Graduate,No,3244,0,36,Urban,68040.0,708.75,No Risk
Male,No,0,Not Graduate,No,3975,2531,36,Rural,67359.6,701.6625,No Risk
Male,No,0,Graduate,No,2479,0,36,Urban,72258.48,752.6925,Risk
Male,No,0,Graduate,No,3418,0,36,Semiurban,64808.100000000006,675.084375,No Risk
Female,No,0,Graduate,No,10000,0,36,Semiurban,65522.52,682.52625,No Risk
Male,Yes,3+,Graduate,No,3430,1250,36,Semiurban,65318.4,680.4,No Risk
Male,Yes,1,Graduate,Yes,7787,0,36,Urban,73483.20000000001,765.4500000000002,No Risk
Male,Yes,3+,Not Graduate,Yes,5703,0,36,Rural,66339.0,691.03125,No Risk
Male,Yes,0,Graduate,No,3173,3021,36,Urban,69911.1,728.240625,No Risk
Male,Yes,3+,Not Graduate,No,3850,983,36,Semiurban,51030.0,531.5625,No Risk
Male,Yes,0,Graduate,No,150,1800,36,Rural,68890.5,717.609375,Risk
Male,Yes,0,Graduate,No,3727,1775,36,Semiurban,66849.3,696.3468750000001,No Risk
Male,Yes,2,Graduate,No,5000,0,36,Semiurban,61236.0,637.875,No Risk
Female,Yes,2,Graduate,No,4283,2383,36,Semiurban,64808.100000000006,675.084375,No Risk
Male,Yes,0,Graduate,No,2221,0,36,Urban,73483.20000000001,765.4500000000002,Risk
Male,Yes,2,Graduate,No,4009,1717,36,Semiurban,59194.8,616.6125,No Risk
Male,No,0,Graduate,No,2971,2791,36,Semiurban,73483.20000000001,765.4500000000002,Risk
Male,Yes,0,Graduate,No,7578,1010,36,Semiurban,53581.5,558.140625,No Risk
Male,Yes,0,Graduate,No,6250,0,36,Semiurban,65318.4,680.4,No Risk
Male,Yes,0,Graduate,No,3250,0,36,Rural,52050.600000000006,542.19375,No Risk
Male,Yes,0,Not Graduate,Yes,4735,0,36,Urban,70421.4,733.55625,Risk
Male,Yes,2,Graduate,No,6250,1695,36,Semiurban,64297.8,669.7687500000001,No Risk
Male,Yes,0,Graduate,No,4758,0,48,Semiurban,48376.44,503.92125,No Risk
Male,No,0,Graduate,Yes,6400,0,36,Rural,61235.99999999999,637.8749999999999,No Risk
Male,Yes,1,Graduate,No,2491,2054,36,Semiurban,53071.2,552.825,No Risk
Male,No,0,Not Graduate,No,3189,2598,36,Rural,61235.99999999999,637.8749999999999,No Risk
Female,No,0,Graduate,No,8333,0,36,Semiurban,51438.240000000005,535.815,No Risk
Male,Yes,1,Graduate,No,3155,1779,36,Semiurban,71442.0,744.1875,No Risk
Male,Yes,1,Graduate,No,5500,1260,36,Rural,52050.600000000006,542.19375,No Risk
Male,Yes,0,Graduate,No,5746,0,36,Urban,46845.54,487.974375,No Risk
Female,No,0,Graduate,Yes,3463,0,36,Urban,62256.59999999999,648.5062499999999,No Risk
Female,No,1,Graduate,No,3812,0,36,Rural,57153.59999999999,595.3499999999999,No Risk
Male,Yes,1,Graduate,No,3315,0,36,Semiurban,48988.8,510.3,No Risk
Male,Yes,2,Graduate,No,5819,5000,36,Rural,61235.99999999999,637.8749999999999,No Risk
Male,Yes,2,Graduate,Yes,6250,1300,36,Rural,55112.4,574.0875,No Risk
Male,Yes,0,Not Graduate,No,3406,4417,36,Semiurban,62766.89999999999,653.8218749999999,No Risk
Male,Yes,2,Graduate,No,9703,0,36,Urban,57153.59999999999,595.3499999999999,No Risk
Male,Yes,1,Graduate,No,2882,1843,48,Semiurban,62766.89999999999,653.8218749999999,No Risk
Male,Yes,0,Graduate,No,1809,1868,36,Urban,45927.0,478.40625,Risk
Male,Yes,0,Not Graduate,No,1668,3890,36,Semiurban,61542.17999999998,641.0643749999998,Risk
Female,No,2,Graduate,No,3427,0,36,Urban,70421.4,733.55625,No Risk
Male,No,0,Not Graduate,Yes,2583,2167,36,Rural,53071.2,552.825,No Risk
Male,No,0,Graduate,Yes,16250,0,36,Urban,58786.55999999999,612.3599999999999,No Risk
Female,No,3+,Graduate,No,3083,0,36,Rural,46845.54,487.974375,No Risk
Male,No,0,Not Graduate,No,6045,0,36,Rural,58684.49999999999,611.2968749999999,No Risk
Male,Yes,3+,Graduate,No,5250,0,36,Urban,47968.2,499.6687500000001,No Risk
Male,Yes,0,Graduate,No,14683,2100,36,Rural,55847.23199999999,581.7419999999998,No Risk
Male,Yes,3+,Not Graduate,No,4931,0,36,Semiurban,65318.4,680.4,No Risk
Male,Yes,1,Graduate,No,6083,4250,36,Urban,60623.63999999999,631.4962499999998,No Risk
Male,No,0,Graduate,No,2060,2209,36,Semiurban,68380.20000000001,712.2937500000002,Risk
Female,No,0,Graduate,No,7200,0,36,Rural,61235.99999999999,637.8749999999999,No Risk
Male,No,0,Graduate,Yes,5166,0,36,Semiurban,65318.4,680.4,No Risk
Male,No,0,Graduate,No,4095,3447,36,Rural,46233.17999999999,481.5956249999999,No Risk
Male,Yes,2,Graduate,No,4708,1387,36,Semiurban,45927.0,478.40625,No Risk
Male,Yes,3+,Graduate,No,4333,1811,36,Urban,48988.8,510.3,No Risk
Female,No,0,Graduate,No,3418,0,36,Rural,68890.5,717.609375,No Risk
Female,No,1,Graduate,No,2876,1560,36,Urban,45927.0,478.40625,No Risk
Female,No,0,Graduate,No,3237,0,36,Urban,44614.8,464.7375,No Risk
Male,Yes,0,Graduate,No,11146,0,36,Urban,69400.8,722.9250000000001,No Risk
Male,No,0,Graduate,No,2833,1857,36,Rural,64297.8,669.7687500000001,No Risk
Male,Yes,0,Graduate,No,2620,2223,36,Semiurban,45927.0,478.40625,No Risk
Male,Yes,2,Graduate,No,3900,0,36,Semiurban,45927.0,478.40625,No Risk
Male,Yes,1,Graduate,No,2750,1842,36,Semiurban,58684.49999999999,611.2968749999999,No Risk
Male,Yes,0,Graduate,No,3993,3274,36,Semiurban,63379.26,660.200625,No Risk
Male,Yes,0,Graduate,No,3103,1300,36,Urban,68040.0,708.75,No Risk
Male,Yes,0,Graduate,No,14583,0,36,Semiurban,48058.0128,500.6043,No Risk
Female,Yes,0,Not Graduate,No,4100,0,36,Rural,63277.2,659.1374999999999,No Risk
Male,No,1,Not Graduate,Yes,4053,2426,36,Urban,48376.44,503.92125,Risk
Male,Yes,0,Graduate,No,3927,800,36,Semiurban,57153.59999999999,595.3499999999999,No Risk
Female,No,0,Graduate,No,1811,1666,36,Urban,66134.88,688.9050000000001,Risk
Male,Yes,0,Graduate,No,20667,0,36,Rural,65318.4,680.4,No Risk
Male,No,0,Graduate,No,3158,3053,36,Rural,45416.7,473.0906250000001,No Risk
Female,No,0,Graduate,Yes,2600,1717,30,Semiurban,50519.7,526.246875,No Risk
Male,Yes,0,Graduate,No,3704,2000,36,Rural,61235.99999999999,637.8749999999999,No Risk
Female,No,0,Graduate,No,4124,0,36,Semiurban,58684.49999999999,611.2968749999999,No Risk
Male,No,0,Graduate,No,9508,0,36,Rural,57255.65999999999,596.4131249999999,No Risk
Male,Yes,0,Graduate,No,3075,2416,36,Rural,70931.70000000001,738.8718750000002,No Risk
Male,Yes,2,Graduate,No,4400,0,36,Semiurban,64808.100000000006,675.084375,No Risk
Male,Yes,2,Graduate,No,3153,1560,36,Urban,68380.20000000001,712.2937500000002,No Risk
Female,No,0,Graduate,No,5417,0,48,Urban,72972.9,760.134375,No Risk
Male,Yes,0,Graduate,No,2383,3334,36,Semiurban,52662.96,548.5725,No Risk
Male,Yes,3+,Graduate,No,4416,1250,36,Urban,56132.99999999999,584.7187499999999,No Risk
Male,Yes,1,Graduate,No,6875,0,36,Semiurban,61235.99999999999,637.8749999999999,No Risk
Female,Yes,1,Graduate,No,4666,0,36,Urban,68890.5,717.609375,No Risk
Female,No,0,Graduate,No,5000,2541,48,Rural,46233.17999999999,481.5956249999999,No Risk
